id,gender,age,aum227,aum306
36282,M,31,3.29,60.09
36283,M,22,4862.65,4084.01
36284,M,57,1683.42,1328.44
36285,M,23,842.42,835.77
36286,M,39,1.48,1.34
36287,M,25,4542,3022
36288,F,40,695.95,695.95
36289,M,53,5996.43,603.48
36290,M,23,0.7,308.59
36291,M,30,1337.04,3645.03
36292,M,37,34905.34,33839.49
36293,M,31,2985.13,1706.53
36294,M,28,0.67,0.67
36295,M,29,6294.96,18323.43
36296,M,38,63.85,12.1
36297,M,32,5716.57,9313.73
36298,M,24,169.08,356.81
36299,M,36,21.36,21.36
36300,M,51,2748.29,1348.29
36301,F,31,2811.25,659.46
36302,M,21,901.99,595.09
36303,M,24,302.65,78.51
36304,M,29,449.58,300.58
36305,F,45,45122.23,44122.23
36306,M,23,24.86,2187.13
36307,M,43,13016.01,2676.32
36308,M,33,1.97,1.25
36309,M,33,34280.83,25149.45
36310,M,32,5.13,5.13
36311,M,23,0,50.17
36312,M,49,1240.64,1240.64
36313,M,33,1092.93,2096.67
36314,M,38,3.49,3.49
36315,M,24,14.05,14.05
36316,M,27,0,375.78
36317,M,29,42666.78,42319.78
36318,M,35,3123.41,42389.51
36319,M,43,736014.66,723840.77
36320,M,35,7594.28,3688.1
36321,F,24,4,4
36322,M,36,40.2,13.55
36323,F,31,159.68,220.28
36324,M,25,1083.33,1083.33
36325,M,24,5063.3,24826.98
36326,M,38,32660.49,36694.29
36327,M,28,994.8,419.08
36328,M,35,39832.72,43565.63
36329,M,31,750.12,494.21
36330,M,35,2250.7,6625.7
36331,F,34,30531.15,53684.11
36332,F,31,10,10
36333,M,39,379.57,6879.57
36334,M,22,283.13,7.13
36335,M,36,22.49,22.49
36336,M,45,2.3,2.3
36337,M,23,20.04,113.77
36338,M,28,12059.84,17459.79
36339,M,25,0.64,730.73
36340,M,29,53.22,5.72
36341,M,45,1127.14,2358.41
36342,F,56,1481537.95,1724192.12
36343,M,58,44171.75,54196.69
36344,M,50,7416.26,478.95
36345,M,33,57864.05,47861.08
36346,M,27,2967.11,3.38
36347,M,32,23.35,23.35
36348,M,20,24.94,12.09
36349,M,33,1709.59,85.23
36350,M,32,9570.22,5640.34
36351,M,25,16.05,27.42
36352,M,24,0.18,0.08
36353,M,39,99098.12,63518.3
36354,M,47,197881.37,197881.37
36355,M,37,495.6,495.6
36356,M,34,625776.5,431211
36357,F,47,95.19,695.19
36358,F,34,205.16,11.16
36359,M,45,1278030.49,663468.45
36360,M,47,149415.36,121155.49
36361,M,41,4.37,4.37
36362,F,28,1507.32,1066.02
36363,F,29,10.02,10.02
36364,M,41,2774.78,2315.38
36365,M,25,2055.28,8396.28
36366,M,28,5.79,5.79
36367,M,48,29809.53,29127.53
36368,F,45,569.4,63.43
36369,M,32,0.63,0.63
36370,M,55,0.25,0.25
36371,M,37,7378.15,6434.65
36372,F,37,2645082.85,2534442.28
36373,M,34,258868.8,254111.17
36374,M,33,37821.12,39137.61
36375,F,24,387.16,127.9
36376,F,31,0,0
36377,M,30,861.88,228.41
36378,M,28,770.21,6555.72
36379,M,27,0.52,3527.53
36380,M,34,28101.93,28363.81
36381,F,36,174.91,724.86
36382,M,39,37980.3,38271.4
36383,M,26,2110.68,2276.2
36384,M,47,4983.5,5328.24
36385,M,33,499822.45,551868.17
36386,F,30,2002.22,49.22
36387,M,45,3.37,3.37
36388,M,30,718.54,109.67
36389,M,45,58194.94,87106.63
36390,M,49,2205.07,1605.07
36391,F,29,3388.66,2850.54
36392,M,40,969.3,488.78
36393,M,28,7394.83,6732.75
36394,M,19,401.7,83.73
36395,F,41,748.03,512964.51
36396,M,29,1079.57,1251.11
36397,M,34,51109.07,40137.62
36398,F,52,123920.41,115170.41
36399,F,43,294402.56,275368.37
36400,F,32,0,0
36401,M,33,94,1856.15
36402,M,33,2174.45,1371.77
36403,M,38,17.08,532.08
36404,M,31,31560.35,801.95
36405,F,28,0.75,0.92
36406,M,29,27.54,783.78
36407,M,44,654.83,1556.22
36408,M,37,993.57,993.57
36409,M,25,16582.28,342.9
36410,M,42,15.5,205.5
36411,F,25,150.91,83.88
36412,M,43,13.49,47.53
36413,F,34,45.02,40.02
36414,M,29,22.52,22.52
36415,M,23,7.35,4.35
36416,M,30,36.4,1035.4
36417,M,21,16440.13,2083.42
36418,M,30,134.31,134.31
36419,M,28,4.46,8.91
36420,M,44,716.28,1648.5
36421,M,31,13475.08,12913.84
36422,M,31,139.62,4200.5
36423,M,26,228.84,2436.53
36424,M,25,9968,7999.76
36425,M,27,28521.03,28536.57
36426,M,21,6.6,1.26
36427,M,26,2001.74,2346.15
36428,M,40,3005.06,1658.98
36429,M,37,81.76,69.76
36430,M,32,55590.21,63246.28
36431,M,33,13088.75,13088.75
36432,M,40,362006.82,359783.42
36433,M,34,62875.8,43875.96
36434,M,32,1769,474.07
36435,M,33,821.39,4021.39
36436,M,27,125871.45,44553.06
36437,F,36,174.86,174.86
36438,M,32,0,0.8
36439,M,41,15099,15099
36440,M,38,80.83,379.91
36441,M,30,0,0.05
36442,M,34,0.48,0.48
36443,M,28,17.3,17.3
36444,M,32,688.27,550.27
36445,M,28,185.1,185.1
36446,M,35,1.93,1.93
36447,M,17,314.65,167.27
36448,M,37,2448.86,1133.23
36449,M,54,258.55,258.55
36450,M,25,6251.52,599.13
36451,M,32,318.61,2252.28
36452,M,20,21.56,62.13
36453,M,34,12666.71,16277.06
36454,M,26,46.63,829.54
36455,M,22,0.09,58.3
36456,M,22,56.11,56.11
36457,M,35,41291.59,40778.47
36458,F,29,5929.27,81583.07
36459,M,28,28819.39,51531.42
36460,M,41,0,0
36461,M,35,0.11,0.11
36462,M,32,75373.58,79118.38
36463,M,25,592.8,166.04
36464,F,34,712.22,508.22
36465,M,33,885.29,3745.31
36466,F,20,438.43,15.59
36467,M,28,281265.08,26253.63
36468,M,29,1032.25,399.37
36469,M,59,0.11,0.11
36470,M,29,190.02,26.78
36471,M,54,19.88,19.88
36472,M,28,3830.11,1279.64
36473,M,49,44392.36,44392.36
36474,F,32,21947.29,19448.69
36475,M,26,385.76,871.81
36476,M,26,257.4,427.77
36477,M,27,2207.98,2667.44
36478,M,42,139474.63,148720.99
36479,M,29,503.17,505.66
36480,M,25,2498.24,2009.38
36481,F,35,573.87,473.87
36482,M,54,6069.64,5962.32
36483,M,29,4095.28,2974.6
36484,M,27,831.07,4787.53
36485,M,58,14115.54,8412.54
36486,M,24,577.78,470.56
36487,F,27,521.55,237.21
36488,M,29,0.41,0.41
36489,M,25,0,0
36490,M,38,225313.04,27665.04
36491,M,29,7911.29,16503.72
36492,M,21,12468.27,11551.75
36493,M,32,35.91,35.91
36494,M,53,7181.06,6052.93
36495,M,26,11891.17,11632.57
36496,M,38,437.53,5418.91
36497,M,21,0,0
36498,M,30,218.87,218.87
36499,F,33,23744.38,4765.58
36500,M,38,14.95,143.95
36501,F,29,913.41,784.49
36502,M,39,501455.86,509313.44
36503,F,31,128342,144424.11
36504,M,25,0,0
36505,F,35,71.07,559.23
36506,M,21,0.99,0.99
36507,F,40,157.88,14.13
36508,M,38,2.3,2.3
36509,M,42,65.91,65.91
36510,M,25,15294.88,17583.39
36511,F,34,172.72,172.72
36512,M,49,3050.58,664.97
36513,M,38,0,0
36514,M,35,3602.71,28519.71
36515,M,42,28082.64,25769.69
36516,M,33,1336.58,1336.58
36517,M,32,3081.02,2811.58
36518,M,31,8.27,8.27
36519,F,29,103820.02,126179.39
36520,M,30,413.31,5.31
36521,F,27,25374.88,23561.28
36522,F,48,108619.13,107626.69
36523,M,36,2.87,55.06
36524,M,46,5998.26,1852.78
36525,M,37,2,2
36526,F,47,71991871.94,72038155.35
36527,M,27,5938.64,78651.93
36528,M,38,9221.21,4221.97
36529,M,41,0,0
36530,M,35,3140.12,13140.12
36531,M,45,16.82,0.17
36532,F,26,41766.42,47383.42
36533,M,20,0.33,13.05
36534,M,38,57.63,57.63
36535,M,27,0,0
36536,F,36,259.4,311.4
36537,M,40,22175.75,41732.46
36538,M,56,2625.73,4685.24
36539,F,37,5597.51,13608.98
36540,M,29,70242.02,70259.09
36541,M,40,9884.44,9287.56
36542,M,30,22413.92,2470.8
36543,M,39,4624.49,1764.49
36544,M,46,107204.55,100764.55
36545,M,32,53.17,25.17
36546,M,25,1.09,1.09
36547,M,32,0,0
36548,M,41,46945.73,62710.17
36549,M,33,22389.62,24228.44
36550,M,40,1552.86,1244.86
36551,M,29,2882.09,2415.95
36552,F,50,1114.17,18114.73
36553,M,36,2705.5,1338.32
36554,M,30,2282.68,3740.88
36555,M,44,11705.13,89.86
36556,M,37,910014.55,550771.39
36557,M,52,3939.92,16354.73
36558,F,35,1253.41,633.82
36559,M,34,169.3,199.48
36560,M,28,4455.52,3990.3
36561,M,41,1939635.52,1914897.66
36562,M,34,7.26,30186.26
36563,M,30,5551.66,3194.22
36564,M,28,0,0.82
36565,M,26,5380.97,5119.89
36566,M,29,166.76,95.31
36567,M,38,18966.29,23966.85
36568,M,28,1285.49,12063.99
36569,M,47,399.9,99.9
36570,F,40,4974.83,4375.1
36571,M,30,9.2,0
36572,F,25,572.48,238.62
36573,M,39,82673.14,71039.1
36574,M,43,478.38,501.01
36575,M,33,467.57,2.53
36576,M,37,-9999,-9999
36577,M,29,2673.78,308.08
36578,F,20,0.81,76.69
36579,F,27,137.98,78.16
36580,M,28,208.95,73.95
36581,M,45,10,10
36582,M,33,1613.21,99.62
36583,M,38,49370.65,30070.65
36584,M,28,24143.81,55080.75
36585,M,29,18111.34,18111.34
36586,M,29,20.03,4770.77
36587,M,33,3704.91,5294.58
36588,M,35,1400.79,7155.64
36589,M,25,8915.22,298.46
36590,M,39,85742.08,85669.32
36591,M,39,71120.54,107144.9
36592,M,24,50.86,22.52
36593,M,38,4147.82,1384.08
36594,F,43,406.52,277.27
36595,M,28,110630.81,100790.46
36596,M,30,336.15,861.86
36597,M,42,8811.29,4.99
36598,M,43,14990.14,14189.14
36599,F,24,457.98,5.38
36600,M,29,38.39,4391.43
36601,F,27,10773.91,10518.56
36602,M,32,92898.86,97562.86
36603,M,25,31496.73,4555.93
36604,M,39,385712.57,385144.89
36605,M,26,9.73,203.2
36606,M,25,9.42,347.29
36607,F,23,292.2,1354.69
36608,F,33,100.68,2156.68
36609,M,73,50456.97,101975.78
36610,M,37,6.05,6.05
36611,M,22,1325.21,930.27
36612,F,29,423.55,1242.24
36613,M,36,3243.55,5731.05
36614,M,32,978.31,10373.1
36615,M,32,1.05,1.05
36616,M,25,57.94,42.94
36617,M,26,1.2,1.2
36618,M,27,2.72,2.72
36619,M,34,21603.93,13383.16
36620,F,43,52292.59,12694.45
36621,M,28,513.36,1146.41
36622,F,26,0.06,0.06
36623,M,30,898.37,828.55
36624,M,59,496.98,496.98
36625,M,29,50048.64,45073.57
36626,M,23,4256.92,3258.93
36627,M,24,500.53,0.13
36628,M,32,770.82,285.34
36629,F,61,104.56,387.89
36630,F,24,40.67,0.67
36631,M,33,93.31,845.31
36632,F,38,16019.83,16443.95
36633,F,34,34.34,977.14
36634,M,40,766.5,518.13
36635,F,26,98.11,296.11
36636,M,36,1992.24,238.24
36637,M,45,15199.95,14831.95
36638,M,48,26.02,16.02
36639,F,36,2927060.07,2952700.74
36640,M,33,20.43,19.38
36641,M,30,29297,28069.78
36642,M,37,1869.34,9981.96
36643,M,36,545.73,157.96
36644,M,20,336.64,0.16
36645,M,29,7112,6952
36646,M,36,280571.14,275551.14
36647,M,30,41206.28,1527.78
36648,F,26,10.48,0.48
36649,F,43,24093.99,24093.99
36650,F,38,0,3063.1
36651,F,30,28.99,28.98
36652,M,26,10919.97,10734.38
36653,M,18,24818.57,24729.63
36654,M,30,16122.95,15197.67
36655,M,20,6983.99,6292.49
36656,F,37,5330.68,222.56
36657,M,35,605906.68,600048.47
36658,M,18,3755.98,2421.09
36659,M,40,1603.15,1410.14
36660,F,43,665.09,555.09
36661,M,36,692.92,1000.21
36662,M,36,24077.74,23267.34
36663,M,27,22069.65,37074.18
36664,M,34,0,0
36665,M,22,0.99,0.99
36666,M,25,127.24,57.14
36667,M,40,230.37,229.9
36668,M,21,3.6,3.6
36669,F,32,20725.22,27.82
36670,M,26,115.67,361.97
36671,M,29,0.25,0
36672,M,26,1.63,1705.63
36673,F,25,533.84,481.94
36674,M,31,443.01,1766.57
36675,M,36,848.01,2359.63
36676,M,30,5597.53,16135.37
36677,M,41,1199.34,54.5
36678,M,42,70.95,670.95
36679,M,33,136661.91,49501.92
36680,M,65,698.5,143.05
36681,M,53,19.9,10.9
36682,M,24,5539.54,19207.25
36683,F,28,370.48,28.58
36684,F,22,417.12,333.48
36685,F,35,3500.01,2.41
36686,F,27,9.31,1256.54
36687,M,32,166.01,166.01
36688,F,40,0,0
36689,M,39,3467768.54,3466755.02
36690,M,32,5.7,5.7
36691,M,18,1672.12,183.91
36692,M,30,463.57,2466.05
36693,M,55,3.05,3.05
36694,F,21,171.26,26.89
36695,M,36,2647.79,2420.37
36696,F,33,450.51,210.67
36697,M,33,2656.07,10241.52
36698,M,34,32573.77,24322.24
36699,M,44,187.49,94.49
36700,M,64,352254.66,378556.24
36701,M,32,201.35,159.89
36702,F,30,4627.85,0.84
36703,M,37,60779.45,60807.25
36704,M,31,62942.14,62942.69
36705,F,35,67.23,0.9
36706,F,40,801.27,3948.73
36707,M,40,0.36,60.95
36708,F,47,18.78,10.16
36709,M,39,484.53,357.73
36710,M,33,4956.65,4238.63
36711,F,29,3.34,14.34
36712,M,23,1.87,3.87
36713,M,33,328.75,9.93
36714,M,45,224.67,854.73
36715,M,46,1896.23,1205.33
36716,M,23,9058.82,8602.12
36717,M,24,458,7845.16
36718,M,38,48196.14,84793.67
36719,F,41,718.54,718.54
36720,M,50,653232.55,699439.32
36721,F,19,102.35,47.6
36722,M,22,18.29,18.29
36723,F,33,20.44,0.44
36724,F,33,731097.71,638029.94
36725,M,31,335579.14,290969.8
36726,M,37,4.55,4.55
36727,M,36,0.22,0.61
36728,M,21,369.1,89.81
36729,M,49,1064.35,1064.35
36730,M,44,937.96,307.32
36731,M,29,0,0
36732,M,29,26817.98,25826
36733,F,31,285.76,22.06
36734,M,23,2802.62,2374.86
36735,M,47,4935506.31,7811991.91
36736,M,24,1145.69,76.19
36737,M,43,878078.87,878343.65
36738,M,25,15452.87,15628.06
36739,M,52,54934.75,45912.33
36740,M,38,783.2,887.5
36741,M,34,1.1,0.45
36742,M,38,0.97,0.97
36743,M,33,9859.14,10236.43
36744,F,28,83320.81,54209.45
36745,M,29,55398.52,46503.13
36746,M,23,220.81,1049.27
36747,M,34,480,0
36748,M,45,0,1470
36749,M,49,654014.03,654094.03
36750,M,34,1166.29,66.31
36751,M,38,11760.88,2977.08
36752,M,27,500.5,0
36753,F,36,86.98,86.98
36754,F,32,75.29,16.13
36755,F,34,1530.73,389.73
36756,M,38,7820.67,8246.06
36757,M,41,4485.46,33592.55
36758,M,20,34002.31,33844.41
36759,M,35,110045.14,36295.25
36760,F,34,17308.85,7314.96
36761,M,23,66699.21,67699.21
36762,F,33,569992.97,565214.49
36763,M,32,11638.65,2778.67
36764,M,55,1241377.2,1312812.44
36765,M,36,63892.44,60041.04
36766,M,29,1.3,1.3
36767,M,37,0.04,2.04
36768,M,32,1052.67,2343.76
36769,F,27,42559.35,61026.25
36770,F,25,1389.8,181.89
36771,M,33,157642.56,210202.67
36772,M,30,23823.75,2060.84
36773,F,29,8.07,456.77
36774,M,33,117074.13,117537.58
36775,M,49,617.19,619.01
36776,M,36,0.63,0.63
36777,M,50,13305.83,16005.83
36778,F,26,1974.75,17.49
36779,M,28,6557.93,2818.03
36780,M,35,68708.84,69172.45
36781,M,44,784586.36,835356.51
36782,M,40,6162.22,5810.67
36783,M,33,3021.64,47.7
36784,M,45,3.59,14.09
36785,M,29,944.58,93.26
36786,M,43,10004322.02,9424192.69
36787,F,30,0,0
36788,M,37,30155.12,6513.18
36789,F,28,0,0
36790,M,34,6008.98,3765.77
36791,M,33,0.01,0.01
36792,M,30,11282.4,11048.4
36793,M,30,323.61,3030.5
36794,M,28,28535.31,30723.82
36795,M,29,10107.69,4977.2
36796,M,50,245975.32,245975.93
36797,F,29,20876.42,42887.74
36798,M,27,0,650
36799,F,41,14.04,65.84
36800,M,34,0.25,0.25
36801,M,44,1857.18,6605.04
36802,M,23,647.18,0.54
36803,M,19,10,10
36804,M,28,0,0
36805,F,31,54419.68,55771.55
36806,M,24,737.33,518.33
36807,M,31,2.43,2.43
36808,M,31,0,0
36809,M,34,89273.97,55659.95
36810,M,33,3752268.65,3159143.98
36811,F,29,3389.14,3389.14
36812,M,32,837.84,56741.7
36813,M,27,2066.08,489.34
36814,M,22,208.97,313.18
36815,F,37,881.94,23.34
36816,M,39,2714.04,2419.14
36817,M,36,117.63,117.63
36818,M,30,2580.23,51857.13
36819,F,36,4293.02,13836.28
36820,M,17,682.23,882.23
36821,M,34,138802.13,139362.96
36822,M,42,6824.78,6712.78
36823,M,48,10.39,10010.39
36824,M,30,37.63,37.63
36825,M,56,4079.06,2611.06
36826,F,44,294.07,701.15
36827,M,17,-9999,0.19
36828,M,20,4.38,41.45
36829,M,41,236854.37,258919.19
36830,M,26,50.21,25.21
36831,M,24,0,0
36832,M,26,616.13,5.35
36833,F,19,23.53,3.53
36834,M,32,62.24,62.24
36835,M,37,6259.41,2872.83
36836,M,48,123742.54,135357.82
36837,M,38,3029.02,2027.82
36838,M,31,9.11,100.11
36839,M,38,0.33,0.34
36840,M,51,452475.69,252098.25
36841,M,27,48.26,0.26
36842,M,41,1419.2,3891.76
36843,M,33,3784.93,25754.83
36844,M,25,716.35,229.41
36845,F,31,2862.33,2873.89
36846,M,28,297.86,202.69
36847,M,44,1276.02,168.02
36848,M,27,0.88,1248.44
36849,M,36,14512.26,3116.72
36850,M,38,68.82,11.82
36851,M,23,8.3,8.3
36852,M,35,1.34,27440.65
36853,M,42,19039.72,19050.09
36854,M,41,2816.08,2433.58
36855,M,33,95824.84,200497.37
36856,M,24,80.65,80.65
36857,M,40,0,0
36858,M,48,1480265.45,1499357.35
36859,M,40,8225.19,3462.04
36860,M,39,6074.43,4024.53
36861,M,18,34.01,23.46
36862,M,28,5409.48,9931.5
36863,M,34,66.03,102.03
36864,M,35,1938.49,11879.85
36865,M,27,1.59,1.59
36866,M,37,3.7,3.7
36867,M,37,1173.95,1089.35
36868,M,43,84316.62,84556.55
36869,M,40,1.99,1.99
36870,F,24,954.76,1425.46
36871,M,48,553843.68,577338
36872,M,44,11676.17,12037.01
36873,F,22,49864.81,49814.43
36874,M,33,3321.2,47.63
36875,M,31,93018.04,52817.63
36876,M,60,18312.13,17072.83
36877,M,32,1589.4,1225.93
36878,M,31,10,10
36879,M,33,227839.72,227848.45
36880,M,32,57722.51,7044.51
36881,M,31,1291.87,848.74
36882,M,24,6.55,6.55
36883,M,34,3272.98,17535.41
36884,M,33,4922.37,2159.13
36885,M,26,173.84,1208.56
36886,F,27,607.38,563.78
36887,F,30,15.05,1.05
36888,M,21,2277.14,943.27
36889,M,32,11366.18,469.07
36890,F,36,837.25,0.5
36891,M,39,2563.35,195.1
36892,M,38,119.56,20745.74
36893,M,39,46.12,62.12
36894,M,37,2860.77,5435.23
36895,F,53,3775.51,3775.51
36896,F,22,303.5,51.6
36897,F,20,731.45,61.21
36898,M,24,1591.3,773
36899,M,37,3350.07,16.74
36900,F,23,77.52,77.52
36901,M,46,50062.93,47924.46
36902,M,38,9166.75,6334.12
36903,M,37,376.5,159.22
36904,M,39,9.99,9.99
36905,M,41,81.88,74.95
36906,M,29,2095.54,4905.03
36907,M,32,3093.75,3093.75
36908,M,33,63826.69,65396.69
36909,F,33,82475.48,74843.73
36910,F,40,100.86,51.86
36911,F,29,2070.88,2766.16
36912,M,30,4631.48,165.3
36913,M,33,2762.24,44.36
36914,M,46,0,0
36915,M,28,5775.54,10463.71
36916,M,28,207.92,53.56
36917,F,36,1894.11,513.11
36918,F,57,43.33,1022.83
36919,M,26,1646.12,0
36920,M,28,4.28,2761.35
36921,M,45,292053.04,294077.45
36922,M,42,2463.07,832.64
36923,M,27,4629.25,3978.33
36924,M,65,10.05,10.05
36925,M,31,7135.44,7022.49
36926,M,25,367.54,45.93
36927,M,32,1569.25,2428.25
36928,M,32,3358.08,3358.08
36929,M,30,353.5,1333.71
36930,M,42,269.38,51.38
36931,M,34,0.87,0.87
36932,M,24,1520.6,2368.78
36933,M,38,43746.03,64904.54
36934,M,30,26.62,18.27
36935,M,42,-9999,-9999
36936,F,31,45.05,1745.05
36937,M,42,27.64,4.43
36938,M,33,1002.88,2.88
36939,M,51,1149.82,35.82
36940,M,32,4064.21,726.85
36941,F,40,447.64,100.11
36942,M,34,73660.5,79574.84
36943,M,59,7218.74,7133.9
36944,F,47,3173.79,20381.78
36945,M,49,1127.97,4677.97
36946,M,31,3502.96,252.12
36947,F,33,14847.27,3423.24
36948,M,31,234.6,23.36
36949,M,57,2094.1,1226.1
36950,M,29,12.28,12.28
36951,M,29,0.28,9.62
36952,M,24,256.49,256.49
36953,M,40,10.02,0.02
36954,M,29,16692.27,16637.77
36955,M,32,0.18,0.18
36956,M,30,931.03,343.62
36957,M,36,7570.74,18071.83
36958,M,35,0,6
36959,M,33,448.51,816.78
36960,M,37,969.85,1514.65
36961,M,42,30470.81,30487.37
36962,M,30,380.09,835.85
36963,M,33,0,0
36964,F,39,208215.24,207745.28
36965,M,39,45445.06,39736.15
36966,F,29,0,0
36967,F,39,1909.15,7850.07
36968,M,25,20957.09,20590.73
36969,M,30,134.97,134.97
36970,F,23,399.77,1.29
36971,F,27,0.01,0.01
36972,M,35,399.67,304.09
36973,F,46,248411.56,249365.87
36974,M,46,7675.36,7453.59
36975,M,27,20.91,20.85
36976,F,29,0.01,309.4
36977,F,30,257867.28,257884.69
36978,M,31,2038.19,6536.59
36979,M,43,63.21,108.21
36980,F,31,7485.48,2522.1
36981,M,34,3613.2,3287.8
36982,M,31,59858.94,63650.48
36983,M,28,1.47,40.73
36984,M,40,12754.46,12754.46
36985,M,31,-9999,-9999
36986,F,37,22760.62,3472.72
36987,M,30,40.49,101.14
36988,M,31,2993.48,2119.48
36989,M,43,22,6
36990,M,39,3107.54,867.88
36991,M,27,31002.46,31002.46
36992,M,40,14495.68,12196.68
36993,M,34,14990.16,15179.55
36994,M,27,24769.81,24648.83
36995,M,21,1330.65,0.65
36996,M,22,43.59,113.83
36997,M,32,38803.41,1413.41
36998,F,33,21665.66,39865.71
36999,M,26,10,10
37000,M,45,0.6,1.3
37001,M,29,138.43,1158.43
37002,M,25,4295.45,888.13
37003,F,30,51.53,46.53
37004,M,40,12270.52,12260.52
37005,F,23,341.99,50.39
37006,M,31,310.86,310.86
37007,M,22,127.15,2.55
37008,M,53,10315.06,15363.06
37009,M,24,2.15,1.27
37010,M,36,0,52718.55
37011,M,28,2133.67,3648.51
37012,M,54,32125.41,28706.41
37013,M,38,2957.98,5153.98
37014,M,37,735.49,649.51
37015,M,43,27867.88,26783.31
37016,F,30,123.84,123.84
37017,M,20,0,0
37018,M,27,264.69,3175.83
37019,M,26,17868.3,42952.35
37020,M,34,0.99,0.99
37021,M,27,3649.86,1666.06
37022,M,51,0.05,0.05
37023,M,22,0,0
37024,M,29,91.76,91.76
37025,M,27,432.51,267.04
37026,M,22,6961.15,6.15
37027,M,17,10,10
37028,M,29,106360.06,6360.06
37029,F,46,0.89,0.89
37030,M,50,3730.21,230.21
37031,F,55,29188.41,14648.08
37032,M,46,64938.11,31600.73
37033,F,32,133194.99,130769.96
37034,M,44,73648.08,71484.86
37035,F,36,6020.77,411.7
37036,M,34,185.97,1362.64
37037,M,33,45269.17,44285.53
37038,M,17,145.31,112.31
37039,M,42,32.52,31.51
37040,M,28,0.1,184.26
37041,F,44,83799.18,41117.83
37042,M,24,2.4,2.4
37043,M,40,298494.14,314826.4
37044,M,38,201844.3,202462.15
37045,M,41,0.43,0
37046,M,27,124.01,124.01
37047,M,29,120059.03,46032.53
37048,M,29,18257.52,1667.45
37049,M,18,4.99,4.99
37050,M,40,27.2,979.11
37051,F,32,315.01,315.01
37052,M,35,851.94,252.63
37053,M,27,4.68,4.68
37054,M,43,304.95,0.67
37055,M,27,216.84,216.84
37056,M,38,63.96,621.23
37057,M,59,954401.12,958801.51
37058,M,41,317.11,117.11
37059,M,30,4417.01,4002.04
37060,M,28,1767.88,33.48
37061,M,27,2019.25,16378.79
37062,F,37,69.92,69.92
37063,M,41,60559.47,60348.9
37064,M,52,3079.4,2126.5
37065,F,25,256.75,1024.68
37066,M,26,776.62,776.62
37067,M,31,1715.95,1497.95
37068,M,28,0,0
37069,M,37,-9999,-9999
37070,M,23,185.49,311.11
37071,M,20,473.26,473.26
37072,M,37,1198.84,1088.84
37073,M,30,12671.46,12571.86
37074,M,25,16.25,16.25
37075,M,25,36680.79,36417.22
37076,M,28,16.33,16.33
37077,F,28,3532.38,7662.08
37078,M,25,401.02,401.02
37079,M,36,1012.1,6.18
37080,F,33,1201.15,730.85
37081,M,28,0.4,0.4
37082,M,42,67586.95,61615.57
37083,M,30,3180.33,5535.54
37084,M,36,77023.23,51319.4
37085,F,28,152.79,90.87
37086,M,45,253.57,253.57
37087,M,28,12528.81,21356.81
37088,M,27,42.77,72.62
37089,F,28,2315.38,515.38
37090,M,28,109.62,64.62
37091,M,32,206623.71,206633.03
37092,M,39,2180.19,1584.19
37093,M,28,76310.39,73303.8
37094,M,42,727.25,98.11
37095,M,41,5457.25,9766.71
37096,M,23,0,0
37097,M,32,563.9,1099.96
37098,M,25,472.53,448.73
37099,M,19,9.99,9.99
37100,M,40,4561.1,4221.1
37101,F,37,899776.35,996352.18
37102,M,41,25634.38,27534.38
37103,M,30,652.82,6350.37
37104,M,39,203,103
37105,M,27,293.1,8
37106,M,47,2308.17,2048.23
37107,M,50,3956.65,3656.65
37108,M,29,31863.76,48483.32
37109,M,39,99809.16,64547.53
37110,F,24,132.62,870.14
37111,M,27,20000,0
37112,M,30,94.43,236.26
37113,M,26,8.92,6.42
37114,M,35,0,0
37115,M,31,5748.75,5491
37116,F,45,17611.48,13071.69
37117,M,30,39565.64,39565.64
37118,F,25,115.28,78724.86
37119,M,32,6988.76,6988.76
37120,M,34,485.22,485.22
37121,F,32,77480.75,77480.75
37122,M,35,136.49,136.49
37123,F,28,5980.94,5980.94
37124,M,31,12.42,12.22
37125,F,36,6003.96,28954.25
37126,M,35,468.55,446.8
37127,M,32,0.57,900.57
37128,M,58,13277.87,773898.25
37129,M,44,682.69,682.69
37130,M,25,46.12,15.48
37131,M,36,8684.45,22879.76
37132,M,30,12.48,915.23
37133,M,28,1300.14,1295.38
37134,M,26,74.33,74.4
37135,M,41,862.75,946.15
37136,M,46,623.38,523.38
37137,M,33,469.41,174.01
37138,M,38,100.06,100.06
37139,M,22,262.75,262.75
37140,M,40,6862.98,10457.34
37141,F,29,123.04,3.24
37142,M,31,8238.23,11271.63
37143,M,27,65.76,65.76
37144,M,29,1860.02,4190.49
37145,M,29,251.08,11.62
37146,M,44,90094.78,64105.96
37147,M,33,3729.44,3189.64
37148,M,48,9819.47,192.07
37149,M,32,47706.08,48105.96
37150,M,41,83.84,83.84
37151,F,32,221.67,3947.01
37152,M,56,275112.43,354182.59
37153,M,50,1360.6,1170.99
37154,F,34,334.21,696.06
37155,M,26,2402.89,5110
37156,M,44,11.38,11.38
37157,F,29,15962.59,16182.59
37158,F,34,6.84,6.84
37159,M,30,192.09,5184.68
37160,M,35,20671.14,20743.85
37161,M,55,18905.97,13528.57
37162,M,50,1414675.79,1417011.56
37163,F,37,1164554.63,915869.22
37164,M,38,1156,656
37165,F,29,46862.19,46787.56
37166,F,23,101.86,101.86
37167,F,41,1257.58,1081.24
37168,M,23,50,0
