g2_id,g2_nam,g2_dnam
DFHK,综合代付,信用卡综合支付平台代付
DFJC,撤销退他行,基金撤销资金转回他行卡
DFJJ,基金转他行,基金赎回资金转回他行卡
DFJN,党费缴纳,党费缴纳
DFJS,失败退他行,基金购买失败转回他行卡
DFLC,理财转出,转出电子一卡通他行卡代付
DIBN,绑定卡转入,一网通账户绑定卡转入
DICL,批量记账,批量记账
DINB,一网通提现,一网通提现
DINR,提现冲账,一网通提现冲账
DIRS,贷记调账,银联无卡快捷贷记调账
DITT,提现结转,一网通提现结转
DKHK,综合代扣,信用卡综合支付平台代扣
DKJJ,他行买基金,购买基金他行卡资金代扣
DKLC,理财快购,购买朝朝盈他行卡代扣转出
DKSH,垫款上划,分行垫款上划总行
DKYY,他行卡预约,他行卡预约还本行信用卡
DKZZ,理财转入,转入电子一卡通他行卡代扣
DPBC,保证金存,活期保证金存入
DPBD,保证金取,活期保证金支取
DPBF,保证金续存,保证金续存
DPBO,保证金开,活期保证金开户
DPCC,柜台存现,结算户柜台存现
DPCD,柜台取现,结算户柜台取现
DPCS,柜台存现,柜台存现
DPDC,存款证明,存款证明手续费
DPS1,CRS存款,本行CRS存款
DPS2,银联CDS,银联CDS存款
DPSA,CRS存款,CRS异地卡存款
DPSB,国债短投,银行国债短期投资
DPSC,信用卡存现,信用卡CRS无卡存现
DPSD,扫码存款,本行CDS扫码存款
DPSN,CRS存款,CRS无卡存现
DPSZ,CRS存款,CRS异地卡无卡存现
DPTI,分行缴款,分行向总行缴国债款项
DRFA,签发汇票,签发银行汇票
DRFB,兑付汇票,兑付银行汇票
DRFC,汇票未用退,银行汇票未用退回
DRFD,汇票撤销兑,银行汇票提回兑付完成后撤销兑付
DWDW,柜台取款,柜台取款
EBCD,批量支付,提出贷记批量支付正常交易
EBDS,汇总挂账,提出定借汇总过账
EBN1,企业红包,企业红包清算
EBPA,代付挂账,集中代付（提回定贷）业务挂账
EBPP,集中代付付,集中代付业务付款
EBPR,集中代付收,集中代付（提回定贷）业务收款
EBPT,定贷退票,定期贷记业务退票
EBPV,代付冲正,集中代付业务冲正
EBRA,代收挂账,集中代收（提出定借）业务挂账
EBRB,余额退回,提出贷记批量支付汇款不成功余额退回
EBRD,他行退回,提出贷记批量支付汇出他行退票款项或代理行退回款项
EBRE,代收冲正,集中代收（提回定借）业务冲正
EBRG,定借挂账,提出定借业务挂账
EBRP,集中代收付,集中代收（提回定借）业务付款
EBRR,集中代收收,集中代收业务收款
EBRV,扣款冲账,批量扣款冲账
EDAE,汇差调整,汇差调整记账
EDDC,线上收款,电子商业汇票线上清算收款
EDDD,线上付款,电子商业汇票线上清算付款
EDFB,退电票付款,电子商业汇票付款被退回
EDHF,电票收款,电子票据客服提回收款
EDKF,电票扣费,电子票据人行按月扣费
EDQS,电票付款,电子票据客服提出付款
EDTF,电票付款,电子商业汇票付款
EDVP,电票转账,电票票据系统转账交易记账
EFZT,E招贷转他,E招贷转他行人行
EGEY,平台托收入,平台托收入客户账
EHDF,E号贷转本,E号贷转本行
EK20,代销认购,代销认购
EK22,代销申购,代销申购
EK24,代销赎回,代销赎回
EK3B,代销退款,代销退款
EK42,产品强赎,产品强赎
EK43,产品分红,产品分红
EK52,购买撤单,购买撤单
EKAA,对公代销(,对公代销(资金结算转账)
EKSS,代销实收,对公代销系统权责制实收记账
EP01,信贷还款,对公不良资产清收还款-清收审批
EP02,信贷还款,对公不良资产清收还款-信贷审批
EP03,信贷还款,对公不良资产清收还款-信贷确认
EP04,退款,对公不良资产清收款退款
EP05,退票,对公不良资产清收款退款退票
EP06,偿还垫付,对公不良资产清收偿还垫付费用及其他
EP07,非营业收支,无纸化业务非营业支出非营业收入
EP08,营业外支出,无纸化业务营业外支出
EP09,拨营运资金,营运资金总行拨付
EP10,拨营运资金,营运资金分行拨付
EP11,增值税,无纸化记账的增值税
EP12,企业所得税,无纸化记账的企业所得税
EP13,公允调整,无纸化业务公允调整
EP14,投资分红,无纸化业务投资分红
EP15,手续费收入,无纸化业务手续费收入
EP16,手续费返还,无纸化业务手续费返还
EP17,手续费退票,无纸化业务手续费返还退票
EP18,资产管理,资产管理会计核算
EP19,服务费支付,无纸化总行征信服务费支付
EP20,服务费分摊,无纸化总行征信服务费分摊
EP21,个人贵金属,个人贵金属业务代理个人金交所业务开户手续费
EP22,服务费支付,无纸化总行征信服务费支付
EP23,礼金上交,无纸化业务礼金上交
EP24,清收款划付,无纸化业务清收款划付
EP25,权益调整,应占联合营企业权益调整
EP26,CPS支付,CPS碎片录入费用支付
EP27,CPS分摊,CPS碎片录入费用分摊
EP28,电信费分摊,电信线路费用分摊
EP29,民航手续费,无纸化业务民航代发手续费
EP30,服务费支付,数据服务费支付
EP31,服务费退票,数据服务费退票
EP32,CPS退票,CPS碎片录入费用支付退票
EP33,资产评估费,不良资产评估费-评估费支付
EP34,保险费支付,存款保险费支付
EP35,保险费退票,存款保险费支付退票
EP36,A股现金,A股H股业务处理-支付A股现金股利
EP37,付港股现金,A股H股业务处理-付港股通现金红利
EP38,H股现金,A股H股业务处理-支付H股现金股利
EP39,A股H股,H股股息红利购汇
EP40,A股H股,转港币未分配利润
EP41,迟付股息,A股H股业务处理-划转H股迟付股息
EP42,应付股利,A股H股业务处理-计提H股应付股利
EP43,利润分配,A股H股业务处理-利润分配
EP44,清股利账户,A股H股业务处理-清应付股利账户
EP45,注资增资,无纸化业务-总行股权投资-注资增资
EP46,例外本币,例外业务-例外本币支付
EP47,提前开票,A股H股业务处理-提前开票记账
EP48,销记开票,A股H股业务处理-销记提前开票款
EP49,注资增资,总行股权投资-注资增资退票
EP50,例外账务,无纸化业务例外账务处理
EP51,次托管业务,次托管代缴税
EP52,对公代销,对公代销业务付款
EP53,培训经费,拨付培训中心经费
EP54,补记利息,无纸化业务补记利息
EP55,冲销利息,无纸化业务冲销利息
EP56,补记退票,无纸化业务补记利息退票
EP57,拨付代表处,拨付代表处经费
EP58,培训中心,培训中心年结
EP59,境外分行,境外分行年结
EP60,代表处,代表处年结
EP61,次托管业务,次托管付费
EP62,交易费用,交易费用支付
EP63,资产受让,无纸化业务资产受让
EP64,资产转让,无纸化业务资产转让
EP65,保险费分摊,无纸化业务存款保险费分摊
EP66,小币种年结,小币种损益结转
EP67,分红收入,无纸化业务VISA分红收入
EP68,存贷通分摊,无纸化业务存贷通收益分摊
EP69,航空险保费,无纸化业务存航空意外险保费
EP70,税金缴纳,各类税金缴纳功能
EP71,保险费退票,无纸化业务航空意外险保费退票
EP72,总行人力资,总行人力资源费用
EPTX,e+提现,掌上e+余额提现
EXBA,对公结汇,对公结汇
EXBF,远期结汇,远期结汇
EXBN,非实时结汇,非实时即期结汇
EXBP,结售汇或有,结售汇或有
EXBS,个人结汇,个人实时结汇
EXDP,结售汇保证,结售汇保证金
EXFE,结售汇费用,个人结售汇费用
EXME,对公售汇,对公售汇
EXPF,结售汇盈亏,结售汇盈亏
EXVE,个人售汇,个人实时售汇
EXVF,远期售汇,远期售汇
EXVN,非实时售汇,非实时即期售汇
F2CA,收回卖出,黄金牛熊证收回卖出
F2CL,结清卖出,黄金牛熊证结清卖出
F2MB,市价买入,黄金牛熊证市价买入
F2MS,市价卖出,黄金牛熊证市价卖出
F2PF,收益清算,黄金牛熊证收益清算
F2SB,止损买入,黄金牛熊证止损买入
F2SS,止损卖出,黄金牛熊证止损卖出
F2ST,日终清算,黄金牛熊证日终清算
F2TB,挂盘买入,黄金牛熊证挂盘买入
F2TS,挂盘卖出,黄金牛熊证挂盘卖出
FBMA,FBM过账,FBM第三方产品销售费过账
FD01,基金开户,基金开户
FD02,基金销户,基金销户
FD03,基金账户资,基金账户资料修改
FD04,基金账户冻,基金账户冻结
FD05,基金账户解,基金账户解冻
FD06,基金账户挂,基金账户挂失
FD07,基金账户解,基金账户解挂
FD08,基金账号增,基金交易账号增加
FD09,基金账号撤,基金交易账号撤消
FD20,基金认购,基金认购
FD22,基金申购,基金申购
FD24,基金赎回,基金赎回
FD26,基金转托管,基金转托管
FD27,基金转托管,基金转托管入
FD28,基金转托管,基金转托管出
FD29,基金分红方,基金分红方式设置
FD2A,基金申购费,基金申购费用
FD2B,基金赎回费,基金赎回费用
FD2C,基金转托管,基金转托管费用
FD2D,基金利息退,基金利息退款
FD30,基金认购到,基金认购到账
FD31,基金份额冻,基金份额冻结
FD32,基金份额解,基金份额解冻
FD33,非交易过户,基金非交易过户
FD34,非交易过户,基金非交易过户入
FD35,非交易过户,基金非交易过户出
FD36,基金转换,基金转换
FD37,基金转换转,基金转换转入
FD38,基金转换转,基金转换转出
FD39,定期定额申,基金定期定额申购
FD3A,基金认购费,基金认购费用
FD3B,基金退款,基金退款
FD3C,基金定期定,基金定期定额费用
FD3G,定投失败退,定投失败退款
FD42,基金强行赎,基金强行赎回
FD43,基金红利发,基金红利发放
FD44,基金强行调,基金强行调增
FD45,基金强行调,基金强行调减
FD49,基金募集失,基金募集失败
FD4A,基金红股发,基金红股发放
FD4B,强行赎回费,基金强行赎回费用
FD50,基金清盘,基金清盘
FD52,基金委托撤,基金委托撤单
FD53,基金撤预约,基金撤预约单
FD58,变更交易账,基金变更交易账号
FD59,定期定额开,基金定期定额开通
FD60,定期定额撤,基金定期定额撤销
FD61,定期定额修,基金定期定额修改
FD98,基金快赎,基金快速赎回
FDBX,保险计提,保险手续费计提
FDCC,现金存定期,现金存定期
FDCD,现金存定期,现金存定期
FDCF,活期转理财,基金业务活期转理财
FDCS,现金定期,现金定期
FDFC,理财转活期,基金业务理财转活期
FDFE,基金手续费,手续费计提（代理基金）
FDIC,定期息收入,定期息收入
FDID,定期息支出,定期息支出
FDIN,定期利息,
FDJT,基金计提,基金计提
FDLB,受益权受让,受益权受让款
FDLC,受让退款,受让退款
FDLS,受益权出让,受益权出让款
FDN1,基金认购,基金认购
FDN2,基金申购,基金申购
FDN3,基金赎回,基金赎回
FDN4,托管转出,基金转托管出
FDN5,定期定额,定期定额申购
FDN6,强行赎回,基金强行赎回
FDN7,红利发放,基金红利发放
FDQB,货基快赎回,货基快赎回款
FDQC,基金入账,基金交易资金入账
FDQD,基金扣款,基金交易资金扣款
FDQI,备付金存入,快赎备付金存入
FDQO,备付金退回,快赎备付金退回
FDTK,基金退款,基金退款
FDTR,转账定期,转账定期
FDWC,定期转入,
FDWD,定期支取,
FDXE,信托手续费,手续费计提（代理信托）
FEA1,持币证明费,外币携带证手续费
FEA2,存款证明费,存款证明邮寄及手续费
FEAA,银联手续费,银联跨行手续费
FEAB,通存通兑费,异地通存通兑手续费
FEAC,钞转汇费,钞汇互转手续
FEAD,存款证明费,存款证明手续
FEAE,对账单费,对账单手续
FEAF,国债兑付费,兑付国债手续
FEAG,境外取款费,境外取款手续费
FEAH,理财规划费,金葵花理财规划书手续
FEAI,理财卡年费,金葵花理财卡年
FEAJ,查询手续费,跨年度查询手续
FEAK,快速汇款费,快速汇款手续费（非柜面
FEAL,快速汇款费,快速汇款手续费（柜台
FEAM,外币清点费,收取外币手续
FEAN,通存通兑费,异地通存通兑手续费（柜台
FEAO,同城代发费,同城代发手续
FEAP,同城代扣费,同城代扣手续
FEAQ,同城书挂费,同城凭证书面挂失手续
FEAR,申请书挂费,挂失申请书（凭证书面挂失）挂失手续
FEAS,资产证明费,资产证明手续
FEAT,同城转账费,同城转出手续费（柜台
FEAU,同城转账费,同城转他行手续费（网上
FEAV,钞转汇费,外汇买卖钞转汇手续
FEAW,网站注册费,外汇网站注册
FEAX,网站资讯费,外汇网站资讯费（季缴
FEAY,网站资讯费,外汇网站资讯费（年缴
FEAZ,网站资讯费,外汇网站资讯费（月缴
1-Feb,本行现异费,本行ATM异地取款手续费
2-Feb,保险手续费,保险业务手续费用
FEBA,送卡手续费,网上开户送卡手续
FEBB,补换卡费,网上支付卡补卡/换卡手续
FEBC,结汇手续费,现金结汇手续
FEBD,销户手续费,销户手续
FEBE,异地业务费,信用卡柜台转账缴款异地一卡通手续
FEBF,异地业务费,信用卡我行ATM转账缴款异地一卡通手续
FEBG,异地代发费,异地代发手续
FEBH,异地代扣费,异地代扣手续
FEBI,异地密挂费,异地密码挂失手续
FEBJ,异地换证费,异地损坏换卡/折申请手续
FEBK,异地书挂费,异地凭证书面挂失手续
FEBL,异地领卡费,指定异地领卡手续
FEBM,异地解挂费,指定异地密码解挂手续
FEBN,异地汇款费,异地普通汇出手续费（柜台
FEBO,异地汇款费,异地普通汇出手续费（网上
FEBP,特殊业务费,异地疑难业务手续
FEBQ,异地托收费,异地托收业务手续
FEBR,异地业务费,异地修改支取方式手续
FEBS,信息费,银信通理财秘书信息
FEBT,异地移存费,账户异地移存手续
FEBU,证券业务费,证券业务手续
FEBV,证券业务费,证券业务手续费（基金首先用
FEBW,文件证书费,专业版文件证书手续
FEBX,移动证书费,专业版移动证书手续
FEBY,缴费手续费,自助缴费收
FEBZ,长话手续费,长话代理收费
FECA,IP电话费,IP电话代理收费
FECB,POS手续费,POS特约商户手续
FECC,银联手续费,银联跨行手续费
FECD,其他手续费,其他手续费
FECE,资信证明,单位结算账户资信证明
FECF,特殊业务费,各种特殊业务合并收费
FECG,公司卡开卡,公司卡开卡手续费
FECH,公司卡销卡,公司卡销卡手续费
FECI,挂失手续费,单位客户挂失手续费
FECJ,凭证收费,凭证出售收费
FECK,大额取现费,单位大额取现手续费
FECL,无卡取款,ATM异地无卡取款手续费
FECP,对公收费,对公转账汇款业务收费
FECT,人工服务费,电话银行人工服务费
FECZ,代收扣费,实时代收业务扣费
FED1,银联同取费,银联柜面同城取款手续费
FED2,银联异取费,银联柜面异地取款手续费
FED3,银联同存费,银联柜面同城存款手续费
FED4,银联异存费,银联柜面异地存款手续费
FED5,银联同撤费,银联柜面同城存款撤销退费
FED6,银联异撤费,银联柜面异地存款撤销退费
FEDF,代付扣费,实时代付业务扣费
FEDP,CRS异存费,异地通存通兑手续费（异地卡存款手续费）
FEDS,单位存现收,单位活期存现收费
FEEC,IC卡工本费,电子现金卡工本费
FEED,圈提手续费,IC卡圈提手续费
FEEE,账户管理费,账户管理费
FEEG,短信服务费,定制短信服务费
FEEM,定制卡费用,IC卡工本费-M+定制卡
FEF1,银联同转费,银联同城转账手续费
FEF2,银联异转费,银联异地转账手续费
FEFC,银联转贷费,银联转账贷记调账手续费
FEFD,银联转借费,银联转账借记调账手续费
FEGC,公转私出费,本行ATM公转私转出卡异地手续费
FEGG,公转公出费,本行ATM公转公转出卡异地手续费
FEHJ,实物贵金属,实物贵金属代销手续费
FEHK,香港取款费,香港取款手续费
FEIP,网银费用,RI网银跨行实时转出手续费
FEIS,国际结算费,国际结算费用
FEIU,银联转账费,银联代付转账手续费
FEJC,银联现贷费,银联现金贷记调账手续费
FEJD,银联现借费,银联现金借记调账手续费
FEJJ,基金手续费,基金手续费
FELC,国内证费用,国内信用证费用
FEMB,手机转账费,向手机转账费用
FENC,网银费用,企业银行各项费用
FENP,CRS异存费,通存通兑手续费（异地无卡存现手续费）
FEPB,财务顾问费,家族信托财务顾问费
FEPF,代付扣费,集中代付业务扣费
FERF,代收扣费,集中代收业务扣费
FETX,费用收费,费用系统收费
FEU1,银联现同费,银联ATM同城取现手续费
FEU2,银联现异费,银联ATM异地取现手续费
FEUC,优KEY结,优KEY工本费结转损益
FEUR,优KEY退,优KEY工本费退还客户
FEXZ,询证函,询证函业务
FEZ1,转账收费,转账收费
FEZ2,现金收费,现金收费
FEZ3,二维码收费,二维码收费
FEZC,招财金利息,招财金自营利息收入
FEZY,实物贵金属,实物贵金属自营利息收入
FEZZ,业务收费,业务收费
FFCQ,外汇收益,对公外汇网点收
FFM2,市价委托,对公外汇市价委
FFR2,平仓委托,对公外汇业务平仓
FFS2,止损委托,对公外汇止损委
FFST,汇总清算,对公外汇业务汇
FFT2,挂盘委托,对公外汇挂盘委
FGTH,年终上收利,年终决算后自动上收利润
FI01,活期转入,活期转入财富账户
FI02,异地转账费,异地转账费用
FI03,利息收入,利息收入
FI04,利息收入,利息收入
FI05,转入活期户,转入活期账户
FI06,退网上汇款,网上汇出退票
FI07,异地转账费,异地转账费用
FI08,活期转定期,活期转入定期
FI09,定期转活期,定期转入活期
FI10,退柜台汇款,柜台汇出退票
FI11,异地转账费,异地转账费用
FI12,入财富账户,转入财富账户
FI13,财富账户出,转出财富账户
FI14,活期转定期,活期转入定期
FI15,定期转活期,定期转入活期
FI16,定活互转,定活互转
FI17,财富账户出,转出财富账户
FI18,利息税款,利息税款
FI19,入财富账户,转入财富账户
FI20,入财富账户,转入财富账户
FI21,入财富账户,转入财富账户
FI22,入财富账户,转入财富账户
FI23,入财富账户,转入财富账户
FI24,利息收入,利息收入
FI25,利息税款,利息税款
FI26,溢财通收费,溢财通业务管理费
FI51,转出理财专,转出理财专户
FI52,转入理财专,转入理财专户
FICG,汇转钞,财富账户汇转钞
FIFA,账户管理费,财富账户管理费
FIFB,账单费,财富账户账单费
FIFE,异地转账费,异地转账费用
FILI,额度转入,额度转入
FILO,额度转出,额度转出
FINT,贷记利息,约息存款贷记客户利息
FISI,专户转入,理财专户转入
FIZE,投资批扣,投资收益平台批扣批收
FIZF,投资关注,投资收益平台关注扣收费
FIZG,签证支付,代理签证业务客户支付
FIZH,签证撤单,代理签证业务客户撤单
FIZI,签证中收,代理签证业务中收
FIZJ,签证计提,代理签证业务计提
FIZK,签证清算,代理签证业务清算（合作商收款）
FIZL,签证退款,代理签证业务合作商退款
FJCL,黄金清算,黄金清算
FJIN,库存收入,库存收入
FJOU,库存支出,库存支出
FJPR,产品预售冲,金银投资品预付款销售冲账
FJPT,产品预售,金银投资品预付款销售
FJRV,黄金冲账,黄金冲账
FJTF,产品出售,产品出售
FKEB,补账结汇,结售汇补账结汇
FKES,补账售汇,结售汇补账售汇
FKF1,远结收益,远期结售汇违约收益
FKF2,远结违约,远期结售汇过期违约
FKF3,远结交割,远期结售汇提前交割
FKF4,远结结清,远期结售汇到期结清
FKMB,即时结汇,结售汇即时结汇
FKMS,即时售汇,结售汇即时售汇
FKRB,冲账结汇,结售汇冲账结汇
FKRS,冲账售汇,结售汇冲账售汇
FKS1,即结收益,非实时交割即期结售汇违约收益
FKS2,即结违约,非实时交割即期结售汇过期违约
FKS3,即结结清,非实时交割即期结售汇到期结清
FKTB,挂盘结汇,结售汇挂盘结汇
FKTS,挂盘售汇,结售汇挂盘售汇
FNAT,年终决算,年终决算
FNTX,代扣代缴税,代扣代缴非居民所得税
FP01,活期转理财,活期账户转理财专户
FP02,理财转活期,理财专户转活期账户
FP03,认购,受托理财认购
FP04,认购费用,受托理财认购费用
FP05,申购,受托理财申购
FP06,申购费用,受托理财申购费用
FP07,赎回,受托理财赎回
FP08,赎回费用,受托理财赎回费用
FP09,分红,受托理财分红
FP10,还本,受托理财还本
FP11,认购撤单,受托理财认购撤单
FP12,申购撤单,受托理财申购撤单
FP13,赎回撤单,受托理财赎回撤单
FP14,本利返还,本利返还
FP15,认购清算,受托理财认购清算
FP16,申购清算,受托理财申购清算
FP17,赎回清算,受托理财赎回清算
FP18,存款认购,受托理财结构性存款认购
FP19,存款赎回,受托理财结构性存款赎回
FP20,存款还本,受托理财结构性存款还本
FP21,存款利息,受托理财结构性存款利息
FP22,存款购买,对公结构性存款购买
FP25,存款利息,对公结构性存款利息
FP27,强制赎回,受托理财强制赎回
FP28,强制赎回费,受托理财强制赎回费用
FP29,快速赎回,受托理财快速赎回
FP30,预拆入,受托理财快赎垫资资金预拆入
FP31,拆入还回,受托理财快赎垫资预拆入还回
FPCP,贷记本金,约息存款贷记客户本金
FQBK,批量记账,黄金账户批量记账
FQBY,份额购买,黄金账户份额购买
FQCR,份额转入,黄金账户份额转入
FQDB,黄金定投,黄金定投
FQDE,份额转出,黄金账户份额转出
FQGB,现金认购,特色定期现金认购
FQGS,认购撤销,认购撤销
FQIN,账户结息,黄金账户结息
FQMA,中收分润,黄金账户中收分行利润入账
FQSE,份额卖出,黄金账户份额卖出
FQXC,实物金兑换,实物金兑换
FRJZ,预借分润结,预借分润结转
FS01,费用调账,买入费用调账
FS02,股票买入,股票买入成交
FS03,股票买入费,股票买入费用
FS04,股票买入,股票买入成交
FS05,债券兑付,债券兑付
FS06,债券兑息,债券兑息
FS07,强制赎回,转债强制赎回
FS08,股票红利,股票红利
FS09,增发申购,增发申购
FS10,增发中签,增发申购中签
FS11,申购回款,增发申购回款
FS12,回售资金,回售资金到账
FS13,配售缴款,配售缴款
FS14,新股申购费,新股申购费用
FS15,新股申购,新股申购
FS16,新股中签,新股申购中签
FS17,申购回款,新股申购回款
FS18,配股缴款,配股缴款
FS19,股票卖出费,股票卖出费用
FS20,股票卖出,股票卖出成交
FS21,转股资金,转股资金到账
FS22,资金迁移,B股未交收资金迁移
FTI1,税金转币种,增值税金币种转换
FTI2,外汇结损益,外汇买卖损益结转
FTI3,转税金负差,转金融商品增值税负差
FTIO,年终结转,年终结转
FTMC,浮投卖出,自营浮动投资卖出
FTMR,浮投买入,自营浮动投资买入
FUBY,转入朝朝盈,活期转入朝朝盈
FUQD,货基快赎投,货基快赎投资
FURE,朝朝盈普赎,朝朝盈普通赎回到活期
FUSL,朝朝盈转出,朝朝盈转出活期
FUYB,转入月月盈,活期转入月月盈
FUYD,月月盈转出,月月盈红利转出
FUYS,月月盈转出,月月盈转出活期
FV00,签约,外汇远掉期签约
FV01,提前平仓,外汇远掉期提前平仓
FV02,到期平仓,外汇远掉期交割日平仓
FV03,市价展期,外汇远期市价展期
FV04,提前交割,外汇远期提前交割
FV05,原价展期,外汇远期原价展期
FV06,掉期平仓,外汇掉期全部平仓
FV07,到期交割,外汇远期到期交割
FV08,总分清算,外汇远期总分平盘
FV11,差额交割,结售汇远期差额交割
FV50,期权签约,期权签约
FV51,期权平仓,期权正常平仓
FV52,期权平仓,期权日终套查失败平仓
FV53,期权强平,期权强制平仓（总行）
FV54,期权行权,期权到期行权
FV55,期权不行权,期权到期不行权
FV56,期权费交割,期权费交割
FV57,行权后交割,期权行权全额交割
FV58,行权后交割,期权行权差额交割
FV59,行权后平仓,期权行权后交割失败平仓（即期头寸平盘）
FV61,保证金增补,XFUNDS保证金增补
FV62,保证金解冻,XFUNDS保证金解冻
FWCL,结清卖出,外汇期权结清卖
FWMB,市价买入,外汇期权市价买
FWMS,市价卖出,外汇期权市价卖
FWPF,收益清算,外汇期权收益清算
FWSB,止损买入,外汇期权止损买
FWSS,止损卖出,外汇期权止损卖
FWTB,挂盘买入,外汇期权挂盘买
FWTS,挂盘卖出,外汇期权挂盘卖
FX01,活期转理财,活期账户转入理财专户
FX02,理财转活期,理财专户转入活期账户
FX03,即时委托,即时委托
FX04,挂盘委托,挂盘委托
FX05,选择委托,选择委托
FX06,止损委托,止损委托
FX07,追加委托,追加委托
FX08,撤单,撤单
FX09,外汇收益,外汇实盘收益
FX10,外汇清算,个人外汇实盘委托清算
FX60,认购分行表,双币存款认购分行表外
FX61,认购分行损,双币存款认购分行损益
FX62,分行损益总,双币存款到期分行损益总分清算
FX63,行权总分清,双币存款到期行权总分清算
FX64,期权费总分,双币存款到期期权费总分清算
FX65,到期冲销表,双币存款到期冲销表外
FX66,行权外汇买,双币存款到期行权外汇买卖
FX70,客户开仓,深度价内期权客户开仓
FX71,客户平仓,深度价内期权客户平仓
FX72,到期结清,深度价内期权到期结清
FX73,展期钆差,深度价内期权展期钆差记账
FX74,分总清算,深度价内期权分总清算
FX75,总分清算,深度价内期权总分清算
FX88,交易通收付,交易通收付息总分帐
FX89,交易通盈亏,交易通客户盈亏总分帐
FX90,交易通盈利,交易通分行盈利
FX92,保证金盈利,交易通保证金交易客户盈利
FX93,保证金亏损,交易通保证金交易客户亏损
FX94,保证金付息,交易通保证金客户付息
FX95,保证金收息,交易通保证金客户收息
FX96,转入保证金,活期转保证金
FX97,保证金转出,保证金转活期
FX98,保证金结息,个人保证金帐户销户结息
FX99,交易通表外,交易通表外帐
FXTR,境内外币,境内外币支付系统
FYG1,贵金属市买,纸贵金属实盘市价买入
FYG2,贵金属市卖,纸贵金属实盘市价卖出
FYG3,贵金属挂买,纸贵金属实盘挂盘买入
FYG4,贵金属挂卖,纸贵金属实盘挂盘卖出
FYG5,贵金属止买,纸贵金属实盘止损买入
FYG6,贵金属止卖,纸贵金属实盘止损卖出
FYG7,贵金属清算,纸贵金属实盘清算
FYG8,贵金属收益,纸贵金属实盘收益
GAAD,外币付款证,外币付款证
GACA,托收承付,托收承付
GACB,商业承汇票,商业承汇票
GACC,现金贷方,
GACD,现金借方,
GACG,委托收款,委托收款
GACR,转账贷方,
GACS,现金,现金
GACT,移动电话费,移动电话费
GACV,贷记凭证,贷记凭证
GADF,银行汇票,银行汇票
GADR,转账借方,
GAFE,费用,费用
GAGP,集团转账,
GAGS,国税扣款,国税扣款
GAHU,房租费,房租费
GAIN,利息,利息
GALO,对公资产,信贷系统业务对公资产
GALP,个人资产,信贷系统业务个人资产
GAMT,信汇,信汇
GAPN,本票交易,本票交易
GASF,互联网融资,企业互联网融资资产
GATL,电话费,电话费
GATR,转账,转账（新旧对接）
GATT,电汇,电汇
GATV,电视费,电视费
GAWT,水费,水费
GAXR,税款,税款
GDRF,非法入金退,非法入金退回
GLLQ,内部资金分,内部资金分配
GMSA,GMS过账,GMS过账
GMTS,GMTS交易,GMTS交易
GNFE,企业银行,企业银行
GTMC,固投卖出,自营固定投资卖出
GTMR,固投买入,自营固定投资买入
GTRX,通用记账,通用记账
GTX7,表外核算,表外核算
HFAC,备付金转账,备付金转账
HFBC,备付金转账,备付金转账
HKFR,还款分润,信用卡还款分润
HKTY,还款退卡通,还款交易滞留资金退款至一卡通
HPIA,周期结息,批量周期结息
HPOA,开户补入,产品类对公定期开户补入
HPOP,开户存入,对公定期开户存入
HPWC,关户支取,产品类对公定期关户支取
HPWP,部分支取,产品类对公定期部分支取
HQOP,约息存入,约息存款账户存入
HQWC,约息关户,约息存款账户关户
HQWP,约息支取,约息提前支取
HQZC,活期转出,C+存款活期转出
HZBR,代收保费,代收保费
I411,411计息,
ICAL,账户核验,账户核验
ICCP,还信用卡,一卡通还他行信用卡
ICDP,信用卡转他,信用卡溢缴款领回他行
ICLA,自动销户,国际卡基本账户自动销户
ICRR,对私提回贷,RI网银贷记接收收款
ICSA,代管转账,代管户口转账
ICSB,商户退款,RI网银贷记发起退款
ICSP,对私提出贷,RI网银贷记发起付款
IDRP,对私提回借,RI网银借记接收付款
IDSR,对私提出借,RI网银借记发起收款
IEX1,本行专业网,本行专业版网上支付
IINT,账户结息,账户结息
INT1,本行大众网,本行大众版网上支付
IRMT,香港汇款,香港汇款
IRSA,查询查复,查询查复
ISBP,保理付汇,保理付汇
ISCG,保理收费,保理收费
ISCH,费用收取,国际结算费用收取
ISCP,客户付汇,付汇扣客户户口
ISFE,国结费用,国际结算费用
ISFT,福费廷,福费廷
ISIR,中心收汇,国外将汇入款项汇入中心
ISMG,国结保证金,国际结算保证金
ISNG,或有核算,国际结算或有资产/负债核算
ISNH,费用,客户服务系统费用
ISOR,中心付汇,结算中心将网点备付款付出国外
ISRF,保理退费,保理退费
ISRT,费用退回,国际结算费用退回
ISSN,单边记账,国际结算单边记内部账
ISTF,国际结算内,国际结算内部划转
ISTR,保理划款,保理内部户划款
ITAX,利息税,利息税
ITP1,网上交易,本行网上交易
J3CR,清分入账,商户清分入账
J3IN,内部结息,C+集团账户产品内部结息
J3TD,同业协转出,同业协议转账转出
J3TH,退款交易,退款交易
J3TP,同业协转账,同业协议转账母公司
JCYK,撤销退本行,基金撤销资金转回一卡通
JFSR,积分收入确,积分收入确认
JFSY,积分收入递,积分收入递延
JJTY,滞留退本行,基金类退款到一卡通
JJYK,基金转本行,基金赎回资金转回一卡通
JKTZ,缴款调整,缴款调整
JSYK,失败退本行,基金购买失败转回一卡通
